Cont,Grad,Manh,Train DICE,Train IoU,Val DICE,Val IoU
0,0,0.1,0.9745,0.9502,0.6729,0.5071
0,0,0.2,0.9755,0.9522,0.6817,0.5171
0,0,0.5,0.9214,0.8543,0.6850,0.5209
0,0,0,0.9774,0.9558,0.6823,0.5178
0,0.1,0.1,0.8464,0.7338,0.6518,0.4835
0,0.1,0.2,0.8380,0.7212,0.6529,0.4847
0,0.1,0.5,0.8227,0.6989,0.6554,0.4874
0,0.1,0,0.8267,0.7046,0.6464,0.4776
0,0.2,0.1,0.7382,0.5850,0.5512,0.3804
0,0.2,0.2,0.7625,0.6162,0.6013,0.4299
0,0.2,0.5,0.6683,0.5018,0.5452,0.3747
0,0.2,0,0.7238,0.5672,0.5727,0.4012
0,0.5,0.1,0.4206,0.2663,0.3266,0.1952
0,0.5,0.2,0.5395,0.3694,0.4421,0.2838
0,0.5,0.5,0.2143,0.1200,0.1319,0.0706
0,0.5,0,0.2195,0.1233,0.1235,0.0658
0.1,0,0.1,0.8368,0.7195,0.6568,0.4890
0.1,0,0.2,0.8278,0.7061,0.6064,0.4351
0.1,0,0.5,0.8624,0.7581,0.6576,0.4899
0.1,0,0,0.8243,0.7011,0.6568,0.4890
0.1,0.1,0.1,0.7810,0.6407,0.6434,0.4743
0.1,0.1,0.2,0.7198,0.5623,0.5775,0.4060
0.1,0.1,0.5,0.7393,0.5864,0.5676,0.3962
0.1,0.1,0,0.7607,0.6139,0.6127,0.4417
0.1,0.2,0.1,0.5834,0.4118,0.4895,0.3240
0.1,0.2,0.2,0.6909,0.5278,0.5396,0.3695
0.1,0.2,0.5,0.6391,0.4696,0.5023,0.3354
0.1,0.2,0,0.6155,0.4446,0.5004,0.3337
0.1,0.5,0.1,0.3910,0.2430,0.2986,0.1755
0.1,0.5,0.2,0.1769,0.0970,0.1016,0.0535
0.1,0.5,0.5,0.3628,0.2216,0.3066,0.1810
0.1,0.5,0,0.2236,0.1259,0.1240,0.0661
0.2,0,0.1,0.7140,0.5552,0.5554,0.3845
0.2,0,0.2,0.7792,0.6382,0.6222,0.4516
0.2,0,0.5,0.7616,0.6149,0.6209,0.4502
0.2,0,0,0.7880,0.6501,0.6342,0.4644
0.2,0.1,0.1,0.4809,0.3166,0.3910,0.2430
0.2,0.1,0.2,0.7322,0.5775,0.5760,0.4045
0.2,0.1,0.5,0.5853,0.4137,0.4697,0.3069
0.2,0.1,0,0.6081,0.4368,0.4826,0.3180
0.2,0.2,0.1,0.5973,0.4258,0.4703,0.3075
0.2,0.2,0.2,0.6288,0.4585,0.4887,0.3233
0.2,0.2,0.5,0.5224,0.3535,0.4074,0.2558
0.2,0.2,0,0.5084,0.3408,0.4022,0.2517
0.2,0.5,0.1,0.2702,0.1562,0.1655,0.0902
0.2,0.5,0.2,0.3094,0.1830,0.2376,0.1348
0.2,0.5,0.5,0.3138,0.1861,0.2376,0.1348
0.2,0.5,0,0.3925,0.2442,0.3287,0.1967
0.5,0,0.1,0.5391,0.3690,0.4026,0.2520
0.5,0,0.2,0.4051,0.2540,0.2826,0.1646
0.5,0,0.5,0.3548,0.2157,0.2556,0.1465
0.5,0,0,0.4914,0.3257,0.3757,0.2313
0.5,0.1,0.1,0.5413,0.3711,0.4151,0.2619
0.5,0.2,0.5,0.2711,0.1568,0.1440,0.0776
0.5,0.5,0,0.1849,0.1019,0.0961,0.0505
0.5,0.5,0.5,0.1418,0.0763,0.0762,0.0396
